""	"x"
"281"	"Georgia"
"282"	"Georgia"
"283"	"Georgia"
"284"	"Georgia"
"285"	"Georgia"
"286"	"Georgia"
"287"	"Georgia"
"288"	"Georgia"
"289"	"Georgia"
"290"	"Georgia"
"291"	"Georgia"
"292"	"Georgia"
"293"	"Georgia"
"294"	"Georgia"
"295"	"Georgia"
"296"	"Georgia"
"297"	"Hawaii"
"298"	"Hawaii"
"299"	"Hawaii"
"300"	"Hawaii"
"301"	"Hawaii"
"302"	"Hawaii"
"303"	"Hawaii"
"304"	"Hawaii"
"305"	"Hawaii"
"306"	"Hawaii"
"307"	"Hawaii"
"308"	"Hawaii"
"309"	"Hawaii"
"310"	"Hawaii"
"311"	"Hawaii"
"312"	"Hawaii"
"313"	"Hawaii"
"314"	"Hawaii"
"315"	"Hawaii"
"316"	"Hawaii"
"317"	"Hawaii"
"318"	"Hawaii"
"319"	"Hawaii"
"320"	"Hawaii"
"321"	"Hawaii"
"322"	"Hawaii"
"323"	"Idaho"
"324"	"Idaho"
"325"	"Idaho"
"326"	"Idaho"
"327"	"Idaho"
"328"	"Idaho"
"329"	"Idaho"
"330"	"Idaho"
"331"	"Idaho"
"332"	"Idaho"
"333"	"Idaho"
"334"	"Idaho"
"335"	"Idaho"
"336"	"Idaho"
"337"	"Idaho"
"338"	"Idaho"
"339"	"Idaho"
"340"	"Idaho"
"341"	"Idaho"
"342"	"Idaho"
"343"	"Idaho"
"344"	"Idaho"
"345"	"Idaho"
"346"	"Idaho"
"347"	"Idaho"
"348"	"Idaho"
"349"	"Idaho"
"350"	"Idaho"
"351"	"Idaho"
"352"	"Idaho"
"353"	"Idaho"
"354"	"Idaho"
"355"	"Idaho"
"356"	"Illinois"
"357"	"Illinois"
"358"	"Illinois"
"359"	"Illinois"
"360"	"Illinois"
"361"	"Illinois"
"362"	"Illinois"
"363"	"Illinois"
"364"	"Illinois"
"365"	"Illinois"
"366"	"Illinois"
"367"	"Illinois"
"368"	"Illinois"
"369"	"Illinois"
"370"	"Illinois"
"371"	"Illinois"
"372"	"Illinois"
"373"	"Illinois"
"374"	"Illinois"
"375"	"Illinois"
"376"	"Illinois"
"377"	"Illinois"
"378"	"Illinois"
"379"	"Illinois"
"380"	"Illinois"
"381"	"Illinois"
"382"	"Illinois"
"383"	"Illinois"
"384"	"Illinois"
"385"	"Illinois"
"386"	"Illinois"
"387"	"Illinois"
"388"	"Illinois"
"389"	"Illinois"
"390"	"Illinois"
"391"	"Indiana"
"392"	"Indiana"
"393"	"Indiana"
"394"	"Indiana"
"395"	"Indiana"
"396"	"Indiana"
"397"	"Indiana"
"398"	"Indiana"
"399"	"Indiana"
"400"	"Indiana"
"401"	"Indiana"
"402"	"Indiana"
"403"	"Indiana"
"404"	"Indiana"
"405"	"Indiana"
"406"	"Indiana"
"407"	"Indiana"
"408"	"Indiana"
"409"	"Indiana"
"410"	"Indiana"
"411"	"Indiana"
"412"	"Indiana"
"413"	"Indiana"
"414"	"Indiana"
"415"	"Indiana"
"416"	"Indiana"
"417"	"Indiana"
"418"	"Indiana"
"419"	"Indiana"
"420"	"Indiana"
"421"	"Indiana"
"422"	"Indiana"
"423"	"Indiana"
"424"	"Indiana"
"425"	"Indiana"
"426"	"Indiana"
"427"	"Indiana"
"428"	"Indiana"
"429"	"Indiana"
"430"	"Iowa"
"431"	"Iowa"
"432"	"Iowa"
"433"	"Iowa"
"434"	"Iowa"
"435"	"Iowa"
"436"	"Iowa"
"437"	"Iowa"
"438"	"Iowa"
"439"	"Iowa"
"440"	"Iowa"
"441"	"Iowa"
"442"	"Iowa"
"443"	"Iowa"
"444"	"Iowa"
"445"	"Iowa"
"446"	"Iowa"
"447"	"Iowa"
"448"	"Iowa"
"449"	"Iowa"
"450"	"Iowa"
"451"	"Iowa"
"452"	"Iowa"
"453"	"Iowa"
"454"	"Iowa"
"455"	"Iowa"
"456"	"Iowa"
"457"	"Iowa"
"458"	"Iowa"
"459"	"Iowa"
"460"	"Iowa"
"461"	"Iowa"
"462"	"Iowa"
"463"	"Iowa"
"464"	"Kansas"
"465"	"Kansas"
"466"	"Kansas"
"467"	"Kansas"
"468"	"Kansas"
"469"	"Kansas"
"470"	"Kansas"
"471"	"Kansas"
"472"	"Kansas"
"473"	"Kansas"
"474"	"Kansas"
"475"	"Kansas"
"476"	"Kansas"
"477"	"Kansas"
"478"	"Kansas"
"479"	"Kansas"
"480"	"Kansas"
"481"	"Kansas"
"482"	"Kansas"
"483"	"Kansas"
"484"	"Kansas"
"485"	"Kansas"
"486"	"Kansas"
"487"	"Kansas"
"488"	"Kansas"
"489"	"Kansas"
"490"	"Kansas"
"491"	"Kansas"
"492"	"Kansas"
"493"	"Kansas"
"494"	"Kansas"
"495"	"Kansas"
"496"	"Kentucky"
"497"	"Kentucky"
"498"	"Kentucky"
"499"	"Kentucky"
"500"	"Kentucky"
"501"	"Kentucky"
"502"	"Kentucky"
"503"	"Kentucky"
"504"	"Kentucky"
"505"	"Kentucky"
"506"	"Kentucky"
"507"	"Kentucky"
"508"	"Kentucky"
"509"	"Kentucky"
"510"	"Kentucky"
"511"	"Kentucky"
"512"	"Kentucky"
"513"	"Kentucky"
"514"	"Kentucky"
"515"	"Kentucky"
"516"	"Kentucky"
"517"	"Kentucky"
"518"	"Kentucky"
"519"	"Kentucky"
"520"	"Kentucky"
"521"	"Kentucky"
"522"	"Kentucky"
"523"	"Kentucky"
"524"	"Kentucky"
"525"	"Kentucky"
"526"	"Kentucky"
"527"	"Kentucky"
"528"	"Louisiana"
"529"	"Louisiana"
"530"	"Louisiana"
"531"	"Louisiana"
"532"	"Louisiana"
"533"	"Louisiana"
"534"	"Louisiana"
"535"	"Louisiana"
"536"	"Louisiana"
"537"	"Louisiana"
"538"	"Louisiana"
"539"	"Louisiana"
"540"	"Louisiana"
"541"	"Louisiana"
"542"	"Louisiana"
"543"	"Louisiana"
"544"	"Louisiana"
"545"	"Louisiana"
"546"	"Louisiana"
"547"	"Louisiana"
"548"	"Louisiana"
"549"	"Louisiana"
"550"	"Louisiana"
"551"	"Louisiana"
"552"	"Louisiana"
"553"	"Louisiana"
"554"	"Louisiana"
"555"	"Louisiana"
"556"	"Louisiana"
"557"	"Louisiana"
"558"	"Louisiana"
"559"	"Louisiana"
"560"	"Louisiana"
"561"	"Louisiana"
"562"	"Maine"
"563"	"Maine"
"564"	"Maine"
"565"	"Maine"
"566"	"Maine"
"567"	"Maine"
"568"	"Maine"
"569"	"Maine"
"570"	"Maine"
"571"	"Maine"
"572"	"Maine"
"573"	"Maine"
"574"	"Maine"
"575"	"Maine"
"576"	"Maine"
"577"	"Maine"
"578"	"Maine"
"579"	"Maine"
"580"	"Maine"
"581"	"Maine"
"582"	"Maine"
"583"	"Maine"
"584"	"Maine"
"585"	"Maine"
"586"	"Maine"
"587"	"Maine"
"588"	"Maine"
"589"	"Maine"
"590"	"Maryland"
"591"	"Maryland"
"592"	"Maryland"
"593"	"Maryland"
"594"	"Maryland"
"595"	"Maryland"
"596"	"Maryland"
"597"	"Maryland"
"598"	"Maryland"
"599"	"Maryland"
"600"	"Maryland"
"601"	"Maryland"
"602"	"Maryland"
"603"	"Maryland"
"604"	"Maryland"
"605"	"Maryland"
"606"	"Maryland"
"607"	"Maryland"
"608"	"Maryland"
"609"	"Maryland"
"610"	"Maryland"
"611"	"Maryland"
"612"	"Maryland"
"613"	"Maryland"
"614"	"Maryland"
"615"	"Maryland"
"616"	"Maryland"
"617"	"Maryland"
"618"	"Maryland"
"619"	"Maryland"
"620"	"Maryland"
"621"	"Maryland"
"622"	"Maryland"
"623"	"Maryland"
"624"	"Maryland"
"625"	"Maryland"
"626"	"Massachusetts"
"627"	"Massachusetts"
"628"	"Massachusetts"
"629"	"Massachusetts"
"630"	"Massachusetts"
"631"	"Massachusetts"
"632"	"Massachusetts"
"633"	"Massachusetts"
"634"	"Massachusetts"
"635"	"Massachusetts"
"636"	"Massachusetts"
"637"	"Massachusetts"
"638"	"Massachusetts"
"639"	"Massachusetts"
"640"	"Massachusetts"
"641"	"Massachusetts"
"642"	"Massachusetts"
"643"	"Massachusetts"
"644"	"Massachusetts"
"645"	"Massachusetts"
"646"	"Massachusetts"
"647"	"Massachusetts"
"648"	"Massachusetts"
"649"	"Massachusetts"
"650"	"Massachusetts"
"651"	"Massachusetts"
"652"	"Minnesota"
"653"	"Minnesota"
"654"	"Minnesota"
"655"	"Minnesota"
"656"	"Minnesota"
"657"	"Minnesota"
"658"	"Minnesota"
"659"	"Minnesota"
"660"	"Minnesota"
"661"	"Minnesota"
"662"	"Minnesota"
"663"	"Minnesota"
"664"	"Minnesota"
"665"	"Minnesota"
"666"	"Minnesota"
"667"	"Minnesota"
"668"	"Minnesota"
"669"	"Minnesota"
"670"	"Minnesota"
"671"	"Minnesota"
"672"	"Minnesota"
"673"	"Minnesota"
"674"	"Minnesota"
"675"	"Minnesota"
"676"	"Minnesota"
"677"	"Minnesota"
"678"	"Minnesota"
"679"	"Minnesota"
"680"	"Minnesota"
"681"	"Minnesota"
"682"	"Minnesota"
"683"	"Minnesota"
"684"	"Minnesota"
"685"	"Missouri"
"686"	"Missouri"
"687"	"Missouri"
"688"	"Missouri"
"689"	"Missouri"
"690"	"Missouri"
"691"	"Missouri"
"692"	"Missouri"
"693"	"Missouri"
"694"	"Missouri"
"695"	"Missouri"
"696"	"Missouri"
"697"	"Missouri"
"698"	"Missouri"
"699"	"Missouri"
"700"	"Missouri"
"701"	"Missouri"
"702"	"Missouri"
"703"	"Missouri"
"704"	"Missouri"
"705"	"Missouri"
"706"	"Missouri"
"707"	"Missouri"
"708"	"Missouri"
"709"	"Missouri"
"710"	"Missouri"
"711"	"Missouri"
"712"	"Missouri"
"713"	"Missouri"
"714"	"Missouri"
"715"	"Missouri"
"716"	"Nevada"
"717"	"Nevada"
"718"	"Nevada"
"719"	"Nevada"
"720"	"Nevada"
"721"	"Nevada"
"722"	"Nevada"
"723"	"Nevada"
"724"	"Nevada"
"725"	"Nevada"
"726"	"Nevada"
"727"	"Nevada"
"728"	"Nevada"
"729"	"Nevada"
"730"	"Nevada"
"731"	"Nevada"
"732"	"Nevada"
"733"	"Nevada"
"734"	"Nevada"
"735"	"Nevada"
"736"	"Nevada"
"737"	"Nevada"
"738"	"Nevada"
"739"	"Nevada"
"740"	"Nevada"
"741"	"Nevada"
"742"	"Nevada"
"743"	"Nevada"
"744"	"Nevada"
"745"	"Nevada"
"746"	"Nevada"
"747"	"Nevada"
"748"	"Nevada"
"749"	"Nevada"
"750"	"Nevada"
"751"	"Nevada"
"752"	"Nevada"
"753"	"Nevada"
"754"	"Nevada"
"755"	"New Hampshire"
"756"	"New Hampshire"
"757"	"New Hampshire"
"758"	"New Hampshire"
"759"	"New Hampshire"
"760"	"New Hampshire"
"761"	"New Hampshire"
"762"	"New Hampshire"
"763"	"New Hampshire"
"764"	"New Hampshire"
"765"	"New Hampshire"
"766"	"New Hampshire"
"767"	"New Hampshire"
"768"	"New Hampshire"
"769"	"New Hampshire"
"770"	"New Hampshire"
"771"	"New Hampshire"
"772"	"New Hampshire"
"773"	"New Hampshire"
"774"	"New Hampshire"
"775"	"New Hampshire"
"776"	"New Hampshire"
"777"	"New Hampshire"
"778"	"New Hampshire"
"779"	"New Hampshire"
"780"	"New Hampshire"
"781"	"New Hampshire"
"782"	"New Hampshire"
"783"	"New Hampshire"
"784"	"New Hampshire"
"785"	"New Hampshire"
"786"	"New Hampshire"
"787"	"New Hampshire"
"788"	"New Hampshire"
"789"	"New Jersey"
"790"	"New Jersey"
"791"	"New Jersey"
"792"	"New Jersey"
"793"	"New Jersey"
"794"	"New Jersey"
"795"	"New Jersey"
"796"	"New Jersey"
"797"	"New Jersey"
"798"	"New Jersey"
"799"	"New Jersey"
"800"	"New Jersey"
"801"	"New Jersey"
"802"	"New Jersey"
"803"	"New Jersey"
"804"	"New Jersey"
"805"	"New Jersey"
"806"	"New Jersey"
"807"	"New Jersey"
"808"	"New Jersey"
"809"	"New Jersey"
"810"	"New Jersey"
"811"	"New Jersey"
"812"	"New Jersey"
"813"	"New Jersey"
"814"	"New Jersey"
"815"	"New Jersey"
"816"	"New Jersey"
"817"	"New Jersey"
"818"	"New Jersey"
"819"	"New Jersey"
"820"	"New Jersey"
"821"	"New Jersey"
"822"	"New Mexico"
"823"	"New Mexico"
"824"	"New Mexico"
"825"	"New Mexico"
"826"	"New Mexico"
"827"	"New Mexico"
"828"	"New Mexico"
"829"	"New Mexico"
"830"	"New Mexico"
"831"	"New Mexico"
"832"	"New Mexico"
"833"	"New Mexico"
"834"	"New Mexico"
"835"	"New Mexico"
"836"	"New Mexico"
"837"	"New Mexico"
"838"	"New Mexico"
"839"	"New Mexico"
"840"	"New Mexico"
"841"	"New Mexico"
"842"	"New Mexico"
"843"	"New Mexico"
"844"	"New Mexico"
"845"	"New Mexico"
"846"	"New Mexico"
"847"	"New Mexico"
"848"	"New Mexico"
"849"	"New Mexico"
"850"	"New Mexico"
"851"	"New Mexico"
"852"	"New Mexico"
"853"	"New Mexico"
"854"	"New Mexico"
"855"	"New Mexico"
"856"	"New Mexico"
"857"	"New Mexico"
"858"	"New Mexico"
"859"	"New Mexico"
"860"	"New Mexico"
"861"	"New Mexico"
"862"	"New Mexico"
"863"	"New York"
"864"	"New York"
"865"	"New York"
"866"	"New York"
"867"	"New York"
"868"	"New York"
"869"	"New York"
"870"	"New York"
"871"	"New York"
"872"	"New York"
"873"	"New York"
"874"	"New York"
"875"	"New York"
"876"	"New York"
"877"	"New York"
"878"	"New York"
"879"	"New York"
"880"	"New York"
"881"	"New York"
"882"	"New York"
"883"	"New York"
"884"	"New York"
"885"	"New York"
"886"	"New York"
"887"	"New York"
"888"	"New York"
"889"	"New York"
"890"	"New York"
"891"	"New York"
"892"	"New York"
"893"	"New York"
"894"	"New York"
"895"	"North Carolina"
"896"	"North Carolina"
"897"	"North Carolina"
"898"	"North Carolina"
"899"	"North Carolina"
"900"	"North Carolina"
"901"	"North Carolina"
"902"	"North Carolina"
"903"	"North Carolina"
"904"	"North Carolina"
"905"	"North Carolina"
"906"	"North Carolina"
"907"	"North Carolina"
"908"	"North Carolina"
"909"	"North Carolina"
"910"	"North Carolina"
"911"	"North Carolina"
"912"	"North Carolina"
"913"	"North Carolina"
"914"	"North Carolina"
"915"	"North Carolina"
"916"	"North Carolina"
"917"	"North Carolina"
"918"	"North Carolina"
"919"	"North Carolina"
"920"	"North Carolina"
"921"	"North Carolina"
"922"	"North Carolina"
"923"	"North Carolina"
"924"	"North Carolina"
"925"	"North Carolina"
"926"	"North Carolina"
"927"	"North Carolina"
"928"	"North Carolina"
"929"	"North Carolina"
"930"	"North Carolina"
"931"	"North Carolina"
"932"	"North Carolina"
"933"	"North Dakota"
"934"	"North Dakota"
"935"	"North Dakota"
"936"	"North Dakota"
"937"	"North Dakota"
"938"	"North Dakota"
"939"	"North Dakota"
"940"	"North Dakota"
"941"	"North Dakota"
"942"	"North Dakota"
"943"	"North Dakota"
"944"	"North Dakota"
"945"	"North Dakota"
"946"	"North Dakota"
"947"	"North Dakota"
"948"	"North Dakota"
"949"	"North Dakota"
"950"	"North Dakota"
"951"	"North Dakota"
"952"	"North Dakota"
"953"	"North Dakota"
"954"	"North Dakota"
"955"	"North Dakota"
"956"	"North Dakota"
"957"	"North Dakota"
"958"	"North Dakota"
"959"	"North Dakota"
"960"	"North Dakota"
"961"	"North Dakota"
"962"	"North Dakota"
"963"	"Ohio"
"964"	"Ohio"
"965"	"Ohio"
"966"	"Ohio"
"967"	"Ohio"
"968"	"Ohio"
"969"	"Ohio"
"970"	"Ohio"
"971"	"Ohio"
"972"	"Ohio"
"973"	"Ohio"
"974"	"Ohio"
"975"	"Ohio"
"976"	"Ohio"
"977"	"Ohio"
"978"	"Ohio"
"979"	"Ohio"
"980"	"Ohio"
"981"	"Ohio"
"982"	"Ohio"
"983"	"Ohio"
"984"	"Ohio"
"985"	"Ohio"
"986"	"Ohio"
"987"	"Ohio"
"988"	"Ohio"
"989"	"Ohio"
"990"	"Ohio"
"991"	"Ohio"
"992"	"Ohio"
"993"	"Ohio"
"994"	"Ohio"
"995"	"Oklahoma"
"996"	"Oklahoma"
"997"	"Oklahoma"
"998"	"Oklahoma"
"999"	"Oklahoma"
"1000"	"Oklahoma"
"1001"	"Oklahoma"
"1002"	"Oklahoma"
"1003"	"Oklahoma"
"1004"	"Oklahoma"
"1005"	"Oklahoma"
"1006"	"Oklahoma"
"1007"	"Oklahoma"
"1008"	"Oklahoma"
"1009"	"Oklahoma"
"1010"	"Oklahoma"
"1011"	"Oklahoma"
"1012"	"Oklahoma"
"1013"	"Oklahoma"
"1014"	"Oklahoma"
"1015"	"Oklahoma"
"1016"	"Oklahoma"
"1017"	"Oklahoma"
"1018"	"Oklahoma"
"1019"	"Oklahoma"
"1020"	"Oklahoma"
"1021"	"Oklahoma"
"1022"	"Oklahoma"
"1023"	"Oklahoma"
"1024"	"Oklahoma"
"1025"	"Oklahoma"
"1026"	"Oklahoma"
"1027"	"Oklahoma"
"1028"	"Oklahoma"
"1029"	"Oklahoma"
"1030"	"Oklahoma"
"1031"	"Oklahoma"
"1032"	"Oklahoma"
"1033"	"Oklahoma"
"1034"	"Oklahoma"
"1035"	"Oregon"
"1036"	"Oregon"
"1037"	"Oregon"
"1038"	"Oregon"
"1039"	"Oregon"
"1040"	"Oregon"
"1041"	"Oregon"
"1042"	"Oregon"
"1043"	"Oregon"
"1044"	"Oregon"
"1045"	"Oregon"
"1046"	"Oregon"
"1047"	"Oregon"
"1048"	"Oregon"
"1049"	"Oregon"
"1050"	"Oregon"
"1051"	"Oregon"
"1052"	"Oregon"
"1053"	"Oregon"
"1054"	"Oregon"
"1055"	"Oregon"
"1056"	"Oregon"
"1057"	"Oregon"
"1058"	"Oregon"
"1059"	"Oregon"
"1060"	"Pennsylvania"
"1061"	"Pennsylvania"
"1062"	"Pennsylvania"
"1063"	"Pennsylvania"
"1064"	"Pennsylvania"
"1065"	"Pennsylvania"
"1066"	"Pennsylvania"
"1067"	"Pennsylvania"
"1068"	"Pennsylvania"
"1069"	"Pennsylvania"
"1070"	"Pennsylvania"
"1071"	"Pennsylvania"
"1072"	"Pennsylvania"
"1073"	"Pennsylvania"
"1074"	"Pennsylvania"
"1075"	"Pennsylvania"
"1076"	"Pennsylvania"
"1077"	"Pennsylvania"
"1078"	"Pennsylvania"
"1079"	"Pennsylvania"
"1080"	"Pennsylvania"
"1081"	"Pennsylvania"
"1082"	"Pennsylvania"
"1083"	"Pennsylvania"
"1084"	"Pennsylvania"
"1085"	"Pennsylvania"
"1086"	"Pennsylvania"
"1087"	"Pennsylvania"
"1088"	"Pennsylvania"
"1089"	"Pennsylvania"
"1090"	"Pennsylvania"
"1091"	"Pennsylvania"
"1092"	"Pennsylvania"
"1093"	"Pennsylvania"
"1094"	"Pennsylvania"
"1095"	"Rhode Island"
"1096"	"Rhode Island"
"1097"	"Rhode Island"
"1098"	"Rhode Island"
"1099"	"Rhode Island"
"1100"	"Rhode Island"
"1101"	"Rhode Island"
"1102"	"Rhode Island"
"1103"	"Rhode Island"
"1104"	"Rhode Island"
"1105"	"Rhode Island"
"1106"	"Rhode Island"
"1107"	"Rhode Island"
"1108"	"Rhode Island"
"1109"	"Rhode Island"
"1110"	"Rhode Island"
"1111"	"Rhode Island"
"1112"	"Rhode Island"
"1113"	"Rhode Island"
"1114"	"Rhode Island"
"1115"	"Rhode Island"
"1116"	"Rhode Island"
"1117"	"Rhode Island"
"1118"	"Rhode Island"
"1119"	"Rhode Island"
"1120"	"Rhode Island"
"1121"	"Rhode Island"
"1122"	"Rhode Island"
"1123"	"Rhode Island"
"1124"	"Rhode Island"
"1125"	"Rhode Island"
"1126"	"Rhode Island"
"1127"	"Rhode Island"
"1128"	"Rhode Island"
"1129"	"Rhode Island"
"1130"	"Rhode Island"
"1131"	"Rhode Island"
"1132"	"South Carolina"
"1133"	"South Carolina"
"1134"	"South Carolina"
"1135"	"South Carolina"
"1136"	"South Carolina"
"1137"	"South Carolina"
"1138"	"South Carolina"
"1139"	"South Carolina"
"1140"	"South Carolina"
"1141"	"South Carolina"
"1142"	"South Carolina"
"1143"	"South Carolina"
"1144"	"South Carolina"
"1145"	"South Carolina"
"1146"	"South Carolina"
"1147"	"South Carolina"
"1148"	"South Carolina"
"1149"	"South Carolina"
"1150"	"South Carolina"
"1151"	"South Carolina"
"1152"	"South Carolina"
"1153"	"South Carolina"
"1154"	"South Carolina"
"1155"	"South Carolina"
"1156"	"South Carolina"
"1157"	"South Carolina"
"1158"	"South Carolina"
"1159"	"South Carolina"
"1160"	"South Carolina"
"1161"	"South Carolina"
"1162"	"South Carolina"
"1163"	"South Carolina"
"1164"	"South Carolina"
"1165"	"South Carolina"
"1166"	"South Carolina"
"1167"	"South Carolina"
"1168"	"South Carolina"
"1169"	"South Dakota"
"1170"	"South Dakota"
"1171"	"South Dakota"
"1172"	"South Dakota"
"1173"	"South Dakota"
"1174"	"South Dakota"
"1175"	"South Dakota"
"1176"	"South Dakota"
"1177"	"South Dakota"
"1178"	"South Dakota"
"1179"	"South Dakota"
"1180"	"South Dakota"
"1181"	"South Dakota"
"1182"	"South Dakota"
"1183"	"South Dakota"
"1184"	"South Dakota"
"1185"	"South Dakota"
"1186"	"South Dakota"
"1187"	"South Dakota"
"1188"	"South Dakota"
